iter	Passed	Remaining
0	143	143247
1	148	74037
2	153	51035
3	160	39939
4	165	32941
5	177	29473
6	186	26477
7	192	23826
8	197	21719
9	203	20155
10	209	18875
11	215	17765
12	223	16963
13	228	16113
14	234	15395
15	239	14745
16	245	14202
17	252	13752
18	257	13320
19	263	12933
20	270	12600
21	277	12318
22	283	12044
23	289	11775
24	295	11519
25	302	11332
26	307	11084
27	313	10889
28	320	10734
29	326	10551
30	333	10428
31	340	10290
32	346	10148
33	354	10069
34	360	9939
35	367	9854
36	374	9740
37	382	9675
38	388	9567
39	393	9455
40	401	9386
41	406	9275
42	414	9227
43	420	9141
44	426	9051
45	434	9018
46	441	8958
47	450	8937
48	456	8858
49	463	8797
50	468	8723
51	475	8661
52	480	8586
53	486	8521
54	492	8464
55	498	8399
56	503	8332
57	510	8294
58	516	8232
59	521	8172
60	527	8123
61	533	8063
62	538	8010
63	546	7985
64	553	7958
65	560	7937
66	567	7903
67	574	7868
68	580	7825
69	585	7784
70	593	7760
71	598	7710
72	603	7661
73	609	7624
74	614	7575
75	619	7531
76	625	7499
77	630	7456
78	635	7414
79	642	7386
80	647	7346
81	652	7304
82	659	7281
83	664	7242
84	669	7206
85	675	7175
86	680	7139
87	685	7103
88	690	7072
89	695	7036
90	701	7002
91	706	6977
92	712	6944
93	717	6912
94	723	6889
95	728	6857
96	733	6825
97	739	6802
98	744	6772
99	749	6745
100	756	6729
101	760	6699
102	766	6671
103	771	6649
104	776	6622
105	782	6596
106	788	6578
107	793	6552
108	798	6526
109	804	6507
110	809	6481
111	814	6456
112	820	6439
113	826	6420
114	831	6402
115	837	6383
116	842	6359
117	848	6342
118	855	6331
119	860	6311
120	866	6296
121	873	6287
122	879	6270
123	886	6259
124	893	6251
125	898	6231
126	905	6227
127	911	6207
128	918	6204
129	924	6185
130	929	6168
131	938	6168
132	945	6161
133	954	6168
134	961	6160
135	970	6164
136	976	6153
137	986	6159
138	992	6146
139	1002	6156
140	1009	6151
141	1019	6161
142	1028	6163
143	1037	6165
144	1044	6159
145	1052	6158
146	1060	6152
147	1069	6154
148	1079	6163
149	1087	6162
150	1095	6161
151	1102	6152
152	1110	6147
153	1118	6145
154	1125	6134
155	1133	6131
156	1139	6120
157	1147	6117
158	1153	6101
159	1159	6088
160	1165	6075
161	1171	6060
162	1177	6046
163	1183	6031
164	1188	6014
165	1194	6000
166	1199	5982
167	1204	5964
168	1210	5951
169	1215	5933
170	1220	5915
171	1225	5899
172	1230	5884
173	1236	5867
174	1241	5852
175	1247	5841
176	1253	5826
177	1259	5814
178	1264	5800
179	1269	5784
180	1275	5773
181	1281	5759
182	1286	5744
183	1292	5733
184	1298	5718
185	1303	5703
186	1309	5692
187	1314	5677
188	1319	5662
189	1325	5651
190	1330	5637
191	1336	5622
192	1341	5610
193	1346	5595
194	1352	5582
195	1357	5570
196	1363	5555
197	1368	5544
198	1374	5533
199	1380	5520
200	1385	5508
201	1392	5502
202	1398	5492
203	1404	5478
204	1409	5467
205	1415	5455
206	1420	5443
207	1426	5433
208	1432	5420
209	1438	5410
210	1443	5398
211	1449	5386
212	1455	5377
213	1460	5364
214	1465	5351
215	1471	5342
216	1477	5329
217	1482	5317
218	1488	5307
219	1493	5295
